"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0788789813";"The Fellowship of the Ring (The Lord of the Rings, Book 1)";"J. R. R. Tolkien";"2001";"Recorded Books";"http://images.amazon.com/images/P/0788789813.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0788789813.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0788789813.01.LZZZZZZZ.jpg"
"078878983X";"The Two Towers (The Lord of the Rings, Book 2)";"J. R. R. Tolkien";"2001";"Recorded Books";"http://images.amazon.com/images/P/078878983X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/078878983X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/078878983X.01.LZZZZZZZ.jpg"
"0788789848";"The Return of the King (The Lord of the Rings, Book 3)";"J. R. R. Tolkien";"2001";"Recorded Books";"http://images.amazon.com/images/P/0788789848.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0788789848.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0788789848.01.LZZZZZZZ.jpg"
"0789722666";"Java 2 by Example (Hayden/Que)";"Jeff Friesen";"2000";"Macmillan Computer Pub";"http://images.amazon.com/images/P/0789722666.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0789722666.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0789722666.01.LZZZZZZZ.jpg"
"0789725134";"Special Edition Using Microsoft Office XP";"Ed Bott";"2001";"Que";"http://images.amazon.com/images/P/0789725134.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0789725134.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0789725134.01.LZZZZZZZ.jpg"
"0806913428";"Beautiful Cross Stitch from Classic Quilt Designs";"Brenda Day";"1996";"Sterling Pub Co Inc";"http://images.amazon.com/images/P/0806913428.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0806913428.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0806913428.01.LZZZZZZZ.jpg"
"0812501810";"Facets";"Walter Jon Williams";"1991";"Tor Books (Mm)";"http://images.amazon.com/images/P/0812501810.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812501810.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812501810.01.LZZZZZZZ.jpg"
"0812505778";"The Last Book of Swords: Shieldbreaker's Story (Swords Series)";"Fred Saberhagen";"1995";"Tor Books";"http://images.amazon.com/images/P/0812505778.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812505778.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812505778.01.LZZZZZZZ.jpg"
"0812509595";"Web of Angels";"John M. Ford";"1992";"Tor Books (Mm)";"http://images.amazon.com/images/P/0812509595.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812509595.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812509595.01.LZZZZZZZ.jpg"
"0812511107";"The Jewel of Fire (7th Book of Westria)";"Diana L. Paxson";"1992";"Tor Books";"http://images.amazon.com/images/P/0812511107.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812511107.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812511107.01.LZZZZZZZ.jpg"
"0618153985";"the fellowship of the ring (the lord of the rings, part 1)";"J.R.R. Tolkien";"2001";"Houghton Mifflin Company";"http://images.amazon.com/images/P/0618153985.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618153985.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618153985.01.LZZZZZZZ.jpg"
"0345339703";"The Fellowship of the Ring (The Lord of the Rings, Part 1)";"J.R.R. TOLKIEN";"1986";"Del Rey";"http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg"
"0440203856";"Zoya";"Danielle Steel";"1989";"Dell";"http://images.amazon.com/images/P/0440203856.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0440203856.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0440203856.01.LZZZZZZZ.jpg"
"0385296495";"Zoya";"Danielle Steel";"1988";"Delacorte Press";"http://images.amazon.com/images/P/0385296495.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385296495.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385296495.01.LZZZZZZZ.jpg"
"0060934719";"stardust";"Neil Gaiman";"2001";"Perennial";"http://images.amazon.com/images/P/0060934719.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060934719.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060934719.01.LZZZZZZZ.jpg"
"156389470X";"Stardust";"Neil Gaiman";"1999";"DC Comics";"http://images.amazon.com/images/P/156389470X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/156389470X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/156389470X.01.LZZZZZZZ.jpg"
"0380804557";"Stardust";"Neil Gaiman";"2003";"Avon";"http://images.amazon.com/images/P/0380804557.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0380804557.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0380804557.01.LZZZZZZZ.jpg"
"0425127230";"Stardust";"Robert B. Parker";"1996";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425127230.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425127230.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425127230.01.LZZZZZZZ.jpg"
"0380977281";"Stardust";"Neil Gaiman";"1999";"William Morrow";"http://images.amazon.com/images/P/0380977281.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0380977281.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0380977281.01.LZZZZZZZ.jpg"
"0449125394";"Stardust";"Parris A. Bonds";"1983";"Fawcett Books";"http://images.amazon.com/images/P/0449125394.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0449125394.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0449125394.01.LZZZZZZZ.jpg"
"0399135375";"Stardust";"Robert B. Parker";"1990";"Putnam Publishing Group";"http://images.amazon.com/images/P/0399135375.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0399135375.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0399135375.01.LZZZZZZZ.jpg"